"Status","Video ID","Summary","BCA Score","URL"
"✅","YWV4skit6ao","A guided instructional video for a specific 5-5-7-3 breathing technique aimed at calming the nervous system, created in response to a viewer request.","196.0","https://www.youtube.com/shorts/YWV4skit6ao"
"✅","UhI1t8MEUJI","A concise, therapist-led breathing exercise utilizing humming to stimulate the vagus nerve and induce immediate physiological relaxation.","196.0","https://www.youtube.com/shorts/UhI1t8MEUJI"
"✅","_Kq-zG5SYSE","A structured mindfulness tool focusing on a 2:1 breathing ratio (3.5s inhale, 7s exhale) designed to induce physiological relaxation and improve heart rate variability.","196.0","https://www.youtube.com/shorts/_Kq-zG5SYSE"
"✅","wZ-8Dzmvnck","A guided instructional video demonstrating the box breathing technique, a physiological tool designed to mitigate acute anxiety and stress within a one-minute timeframe.","196.0","https://www.youtube.com/shorts/wZ-8Dzmvnck"
"✅","a4hzNO07oA0","A guided breathing exercise video focusing on the 4-6-4 technique (4-second inhale, 6-second exhale) designed to trigger the parasympathetic nervous system and alleviate stress.","190.0","https://www.youtube.com/shorts/a4hzNO07oA0"
"✅","IvHMz7hlARQ","A practical instructional guide on the 4-7-8 breathing technique, a physiological tool designed to down-regulate the nervous system and alleviate acute anxiety symptoms.","190.0","https://www.youtube.com/shorts/IvHMz7hlARQ"
"✅","WyREorhdkjc","A short-form instructional guide focused on a breathing technique designed to enhance cognitive focus and provide a mental reset.","190.0","https://www.youtube.com/shorts/WyREorhdkjc"
"✅","yqDUIhitlbY","A guided instructional video and application promotion focused on rhythmic breathing techniques designed for stress reduction and sleep enhancement.","190.0","https://www.youtube.com/shorts/yqDUIhitlbY"
"✅","zHkFa2c8lfg","A brief, targeted mindfulness intervention designed to help students manage acute exam-related stress through a 5-breath technique. It aims to provide immediate physiological and psychological relief during high-pressure academic periods.","190.0","https://www.youtube.com/shorts/zHkFa2c8lfg"
"✅","3TLj6epN1C8","A guided 4-6 breathing exercise designed to provide immediate relief from anxiety by regulating the autonomic nervous system through controlled respiration.","190.0","https://www.youtube.com/shorts/3TLj6epN1C8"
"✅","kiz_8WFeGDE","A guided instructional video teaching the 4-1-6-1 rhythmic breathing technique designed to promote parasympathetic nervous system activation and emotional regulation.","190.0","https://www.youtube.com/shorts/kiz_8WFeGDE"
"✅","_fqr8XNubEI","A guided instructional video for the 4-7-8 breathing technique, a form of Pranayama designed to reduce anxiety and promote relaxation through rhythmic breath control.","190.0","https://www.youtube.com/shorts/_fqr8XNubEI"
"✅","qVXCe__v-PY","A short-form instructional video providing immediate, evidence-based physiological tools for stress management and autonomic nervous system regulation.","190.0","https://www.youtube.com/shorts/qVXCe__v-PY"
"✅","N_HdRrW2GtQ","A guided mindful breathing meditation session utilizing nature-based auditory cues from San Diego beaches to facilitate relaxation.","190.0","https://www.youtube.com/shorts/N_HdRrW2GtQ"
"✅","BjuiMMuDEuQ","An educational overview of Dr. Julie Smith's clinical psychological insights, focusing on practical tools for managing mental health, emotional regulation, and resilience.","190.0","https://www.youtube.com/shorts/BjuiMMuDEuQ"
"✅","SYmYy5DDH90","A concise instructional guide on box breathing, a clinically recognized stress-reduction technique designed to lower anxiety and promote physiological calm within sixty seconds.","190.0","https://www.youtube.com/shorts/SYmYy5DDH90"
"✅","6AGTyGF8O8Q","An instructional animation for Box Breathing (Square Breathing) designed to provide immediate stress relief and physiological regulation through guided rhythmic respiration.","190.0","https://m.youtube.com/shorts/6AGTyGF8O8Q"
"✅","Lsx7ksng3X8","A mental health-focused short-form video addressing the psychological barriers to happiness and the normalization of low mood, providing evidence-based encouragement for incremental behavioral change.","190.0","https://www.youtube.com/shorts/Lsx7ksng3X8"
"✅","G4ipRSpVAuo","A practical instructional guide teaching box breathing, a clinically recognized technique for rapid anxiety reduction and nervous system regulation.","190.0","https://www.youtube.com/shorts/G4ipRSpVAuo"
"✅","y9jbHCRq9Ho","A concise instructional guide on the 4-7-8 breathing technique designed to mitigate stress and anxiety, promoting a mobile application for guided practice.","190.0","https://www.youtube.com/shorts/y9jbHCRq9Ho"
"✅","M4oDprzxwVk","A therapeutic instructional guide focused on functional breathing techniques designed to induce physiological calmness and improve respiratory awareness through guided visualization and physical cues.","188.0","https://www.youtube.com/shorts/M4oDprzxwVk"
"✅","rhIGdWehcKM","A instructional guide on Effortless Mindfulness and nondual awareness techniques led by Loch Kelly, focusing on immediate tension release and cognitive shifts using Internal Family Systems (IFS) and meditative frameworks.","188.0","https://m.youtube.com/shorts/rhIGdWehcKM"
"✅","rhXqCuuRXF0","A short-form instructional guide focused on utilizing specific breathing patterns to manage acute stress and regulate the autonomic nervous system.","184.0","https://www.youtube.com/shorts/rhXqCuuRXF0"
"✅","tyTELUZcgHc","A promotional short-form video focused on utilizing journaling and cognitive reframing techniques to improve mental health in preparation for 2025.","184.0","https://www.youtube.com/shorts/tyTELUZcgHc"
"✅","oo2E5Z_Cxvk","A guided mindfulness exercise focusing on rhythmic breathing techniques paired with calming visual stimuli of a San Diego sunset.","184.0","https://www.youtube.com/shorts/oo2E5Z_Cxvk"
"✅","x2DPgfNfDkI","A spiritual and psychological guide by Sadhguru focusing on the 'mechanics of happiness' and 'Inner Engineering' to achieve emotional stability and joy through a structured seven-step process.","184.0","https://www.youtube.com/shorts/x2DPgfNfDkI"
"✅","pYILH3QAHkI","This content is a psychoeducational module focused on utilizing Acceptance and Commitment Therapy (ACT) principles to manage depression and anxiety. It emphasizes the identification of core values as a foundational tool for emotional processing and behavioral change.","184.0","https://www.youtube.com/watch?v=pYILH3QAHkI"
"✅","-hNTjO66YOI","A short-form guided mindfulness exercise specifically targeting student stress through the 7-3-3 breathing technique.","184.0","https://www.youtube.com/shorts/-hNTjO66YOI"
"✅","h1h0T-vCpOM","A wellness-focused guide promoting deep breathing techniques to mitigate stress and enhance cognitive clarity.","184.0","https://www.youtube.com/shorts/h1h0T-vCpOM"
"✅","BmQTvo3c_fA","A high-authority, short-form educational video focusing on actionable psychological insights for personal transformation and behavioral change.","184.0","https://m.youtube.com/shorts/BmQTvo3c_fA"
"✅","65qYSkDzv6Y","An educational resource focusing on breathwork as a tool for mental health, emotional regulation, and physiological alignment.","184.0","https://www.youtube.com/shorts/65qYSkDzv6Y"
"✅","eaoxVq4_0ms","A promotional and educational gateway for MedCircle's 2025 mental health series, focusing on expert-led workshops and community-based support systems.","184.0","https://www.youtube.com/watch?v=eaoxVq4_0ms"
"✅","4DQNEie_9RM","A guide to 'Effortless Mindfulness' and nondual practices designed to mitigate cognitive rumination and internal mental chatter. The content integrates Internal Family Systems (IFS) and meditative techniques to facilitate a shift in consciousness for emotional regulation.","184.0","https://www.youtube.com/shorts/4DQNEie_9RM"
"✅","gJ0p_7tFPj8","This content provides practical grounding and meditation techniques aimed at managing stress and anxiety, specifically addressing the heightened emotional demands of the holiday season.","184.0","https://www.youtube.com/shorts/gJ0p_7tFPj8"
"✅","MseFv_f3rO8","This content examines the psychological underpinnings of emotional sensitivity, specifically focusing on individuals who cry easily. It aims to reframe this trait from a perceived weakness to a sign of high emotional intelligence, empathy, and neurological processing depth.","184.0","https://www.youtube.com/shorts/MseFv_f3rO8"
"✅","GE8Pt7AMRgo","A recruitment call for the Psych2Go YouTube channel, inviting viewers to join their mission of making mental health and psychology accessible to a global audience.","180.0","https://www.youtube.com/shorts/GE8Pt7AMRgo"
"✅","hcM2G6-MXj4","A public service announcement from the NY State Office of Mental Health Commissioner, Dr. Ann Sullivan, marking Mental Health Awareness Month 2025 and encouraging New Yorkers to prioritize their psychological well-being.","180.0","https://www.youtube.com/watch?v=hcM2G6-MXj4"
"✅","kUBH1LjK3jc","An educational breakdown distinguishing between the clinical definitions, physiological symptoms, and durations of anxiety attacks versus panic attacks.","180.0","https://www.youtube.com/watch?v=kUBH1LjK3jc"
"✅","XHLAI1qoXG0","An educational dialogue between an MBA faculty member and a student focusing on actionable psychological strategies to mitigate stress and improve emotional regulation.","176.0","https://www.youtube.com/shorts/XHLAI1qoXG0"
"✅","uoQXq5pfO-Y","A philosophical and psychological guide focusing on developing an internal locus of control and emotional independence from external validation.","170.0","https://www.youtube.com/shorts/uoQXq5pfO-Y"
"✅","dj2t_xJOdiI","A philosophical exploration of mental clarity and awareness as the foundation for wellbeing in 2025, contrasting deep understanding with superficial knowledge accumulation.","170.0","https://www.youtube.com/shorts/dj2t_xJOdiI"
"✅","sLVAsCeMM2Y","A mental health educational video identifying five behavioral signs of emotional suppression (bottling up emotions) to encourage self-awareness and psychological well-being.","170.0","https://m.youtube.com/shorts/sLVAsCeMM2Y"
"✅","WbIvXPDhXA8","This content utilizes the 'Boiling Frog' metaphor to illustrate how individuals gradually adapt to toxic environments or chronic stress, emphasizing the importance of self-awareness in preventing burnout.","164.0","https://www.youtube.com/shorts/WbIvXPDhXA8"
"✅","LU6Oi80n5J4","A guided instructional session of the Wim Hof Method breathing technique, involving three rounds of controlled hyperventilation followed by breath retention and recovery breaths.","150.0","https://www.youtube.com/watch?v=LU6Oi80n5J4"
"✅","g0Cu31O3ND0","A structured guided session of the Wim Hof Method breathing technique, designed to induce physiological changes and mental clarity through four rounds of hyperventilation and breath retention.","150.0","https://www.youtube.com/watch?v=g0Cu31O3ND0"
"✅","kORQK5NyXqo","A technical retrospective and software development analysis where a creator examines a past project that exploited or significantly impacted the YouTube Shorts algorithm, featuring a sponsorship for an AI coding agent.","144.0","https://www.youtube.com/watch?v=kORQK5NyXqo"
"✅","6VJQUM2ScEE","A wellness-focused guide promoting 'Brain Breathing' exercises as a holistic remedy for cognitive fatigue, emotional stress, and mental clutter.","144.0","https://www.youtube.com/shorts/6VJQUM2ScEE"
"✅","_mfxQEq6BrQ","An educational video focusing on emotional dysregulation and hidden trauma, likely utilizing Dialectical Behavior Therapy (DBT) frameworks to help viewers understand disproportionate emotional reactions.","144.0","https://www.youtube.com/shorts/_mfxQEq6BrQ"
"✅","IueYqOqwcsg","A high-intensity, minimalist guided breathing session based on the Wim Hof Method, featuring five rounds of rapid breathing and extended breath retention without background audio.","144.0","https://www.youtube.com/watch?v=IueYqOqwcsg"
"✅","vaZsF1QhDLo","An educational exploration by The Economist into the historical roots of US executive power, linking current political controversies surrounding Donald Trump to the foundational debates between Alexander Hamilton and Thomas Jefferson.","130.0","https://m.youtube.com/shorts/vaZsF1QhDLo"
"✅","if7GagwXAsk","Ethan Hawke discusses the intersection of cinema and politics at the Berlin Film Festival, offering a nuanced perspective on the artist's role in societal discourse.","130.0","https://www.youtube.com/shorts/if7GagwXAsk"
"✅","vl1cbSoK3K8","A psychological and sociological analysis of Andrew Tate's popularity, where the Arriëns sisters argue that true gender equality requires the simultaneous empowerment of both men and women rather than a zero-sum approach.","130.0","https://www.youtube.com/shorts/vl1cbSoK3K8"
"✅","nzCaZQqAs9I","A guided instructional video by Wim Hof demonstrating his signature breathing technique, which involves cycles of controlled hyperventilation and breath retention to influence the autonomic nervous system.","130.0","https://www.youtube.com/watch?v=nzCaZQqAs9I"
"✅","VTzTv9R8Xak","A high-engagement short-form video featuring spiritual leader Sadhguru, focusing on the psychological concept of internal locus of control and the fallacy of seeking happiness through external validation.","130.0","https://www.youtube.com/shorts/VTzTv9R8Xak"
"✅","2XZNNZnGhGY","A 2025 short film depicting the year-long mental health journey of an individual, culminating in the festive season and told through the lens of social media interactions.","130.0","https://www.youtube.com/watch?v=2XZNNZnGhGY"
"✅","DB89ukmj-uk","A personal testimonial documenting the user's participation in a spiritual retreat led by Sadhguru, focusing on meditation, mental health, and high-state consciousness experiences.","110.0","https://m.youtube.com/shorts/DB89ukmj-uk"
"✅","R4ThnFxBKfs","Ukrainian President Volodymyr Zelenskyy receives a standing ovation from EU lawmakers, highlighting a moment of international solidarity and diplomatic support during the ongoing conflict.","90.0","https://www.youtube.com/shorts/R4ThnFxBKfs"
"✅","k3yNdTwaNxU","A comedic snippet from the 'You Made It Weird' podcast where Pete Holmes and Taylor Tomlinson humorously debate the content of the romance novel 'Heated Rivalry', contrasting its sports elements with its explicit themes.","90.0","https://www.youtube.com/shorts/k3yNdTwaNxU"
"✅","hMC7E5HGolE","A high-impact psychological discussion focusing on the existential consequences of dishonesty and the weight of personal legacy, framed as a definitive interview.","90.0","https://www.youtube.com/shorts/hMC7E5HGolE"
"✅","f658dh5fqI8","A high-engagement mindfulness short featuring Sadhguru, promising immediate mental health benefits through a frequent, low-effort habit designed to reset the inner state.","90.0","https://www.youtube.com/shorts/f658dh5fqI8"
"✅","iirIL8idt2c","A listicle-style educational video identifying eight behavioral signs and habits that indicate deteriorating mental health, specifically focusing on depression and anxiety symptoms.","84.0","https://m.youtube.com/shorts/iirIL8idt2c"
"✅","HIm1Z9amRTc","The content features spiritual leader Sadhguru offering natural and holistic strategies for managing blood sugar levels, specifically targeting individuals with diabetes through lifestyle and dietary advice.","24.0","https://www.youtube.com/shorts/HIm1Z9amRTc"
"✅","7AdBsVx5tPI","A strategic guide identifying high-growth content categories for YouTube Shorts in 2025, emphasizing faceless automation, financial gain, and the use of AI tools for viral growth.","10.0","https://www.youtube.com/watch?v=7AdBsVx5tPI"
"✅","freshandfit","The provided input contains no content, transcript, or descriptive data to analyze.","0.0","https://www.youtube.com/hashtag/freshandfit/shorts"
"✅","A3zPQxIGvW0","A high-engagement, rapid-fire exploration of divisive but trivial internet debates designed to trigger immediate opinion-forming and social interaction.","-20.0","https://www.youtube.com/shorts/A3zPQxIGvW0"
"✅","DD5YnvOaYs8","A critical analysis of Jordan Peterson's debate performance on Jubilee, asserting that his philosophical arguments inadvertently align with the postmodernist frameworks he frequently critiques.","-24.0","https://www.youtube.com/shorts/DD5YnvOaYs8"
"✅","FSyjd4L2n54","An examination of the polarizing public image of Joe Rogan, balancing his influence in sports and comedy against allegations of spreading misinformation and the resulting societal backlash.","-30.0","https://m.youtube.com/shorts/FSyjd4L2n54"
"✅","VVR5g-4oVHU","A video featuring Charlie Kirk reflecting on his debate experiences and providing strategic advice on public discourse, framed within a Christian missionary context.","-30.0","https://www.youtube.com/shorts/VVR5g-4oVHU"
"✅","c_wpzaPvg6A","A strategic breakdown of the 2025 YouTube Shorts algorithm, utilizing high-authority anchors like Mr Beast to promise viral success and financial gain.","-30.0","https://www.youtube.com/watch?v=c_wpzaPvg6A"
"✅","7nWmqpIzgPk","A short-form video advertisement utilizing high-arousal clickbait tactics and curiosity gaps to target professionals experiencing workplace stress.","-30.0","https://www.youtube.com/shorts/7nWmqpIzgPk"
"✅","LOV_o76FoGw","A promotional announcement regarding the return of controversial broadcaster Piers Morgan to Good Morning Britain after a four-year absence.","-40.0","https://www.youtube.com/shorts/LOV_o76FoGw"
"✅","z1slnzqcF-g","A live broadcast of the 'Piers Morgan Uncensored' talk show, a program characterized by high-conflict debates, celebrity interviews, and polarizing social and political commentary.","-50.0","https://www.youtube.com/watch?v=z1slnzqcF-g"
"✅","GFS-DtT2wtM","A high-conflict debate between Jordan Peterson and a feminist interviewer focusing on the intersection of biblical interpretation and gender equality.","-70.0","https://www.youtube.com/shorts/GFS-DtT2wtM"
"✅","oberjZKVLLQ","A short-form video featuring Andrew Tate critiquing modern architectural choices, specifically the prevalence of glass buildings, likely framed within a broader narrative of traditionalism versus modern societal decay.","-70.0","https://www.youtube.com/shorts/oberjZKVLLQ"
"✅","6u1uIcQK8qg","A high-energy short-form video featuring Andrew Tate promoting a philosophy of constant labor and relentless discipline.","-70.0","https://www.youtube.com/watch?v=6u1uIcQK8qg"
"✅","AOQghrebUn0","A YouTube Shorts compilation featuring conservative commentator Charlie Kirk engaging in political debates with young audiences.","-80.0","https://www.youtube.com/shorts/AOQghrebUn0"
"✅","XGwM60Ph6e4","The content focuses on the confrontational debate style of conservative activist Charlie Kirk, presented by Brut India. It highlights the intersection of political polarization and digital media consumption.","-84.0","https://www.youtube.com/shorts/XGwM60Ph6e4"
"✅","0-cL90mSPck","An analysis of the public and digital reaction to Jordan Peterson's interview with Benjamin Netanyahu, highlighting the controversy surrounding the interview style and the geopolitical implications of their dialogue.","-84.0","https://www.youtube.com/shorts/0-cL90mSPck"
"✅","tm9WXKbIhQs","A short-form motivational video featuring Andrew Tate emphasizing the importance of a support network and collective effort in achieving success, framed within his typical high-intensity rhetorical style.","-84.0","https://www.youtube.com/shorts/tm9WXKbIhQs"
"✅","MEZuuEgz7pU","A high-sensation promotional video targeting aspiring content creators with promises of rapid wealth through specific YouTube Shorts niches for the upcoming year.","-84.0","https://www.youtube.com/watch?v=MEZuuEgz7pU"
"✅","1_NVkKMIGNM","A video documenting a large-scale gathering at Dillon's Rodeo Ranch in Arizona, framed as a 'Charlie Kirk memorial' to leverage viral engagement and political interest.","-84.0","https://www.youtube.com/shorts/1_NVkKMIGNM"
"✅","nZqsqK6XWEk","A high-conflict political debate video featuring a controversial figure against a group, designed for maximum engagement through ideological friction and the 'one vs. many' archetype.","-90.0","https://www.youtube.com/shorts/nZqsqK6XWEk"
"✅","nNfDr18C6H4","A high-conflict political debate between Charlie Kirk and a student regarding the Israel-Palestine conflict, characterized by adversarial rhetoric and performative argumentation.","-90.0","https://www.youtube.com/shorts/nNfDr18C6H4"
"✅","eeNuJE3ik2w","A comparative critique of anti-Zionist rhetoric from Dave Smith and Candace Owens, framed as a warning about the relative 'danger' of their respective ideologies within the current geopolitical climate.","-90.0","https://www.youtube.com/shorts/eeNuJE3ik2w"
"✅","O_egG6-npoI","A compilation of nine rhetorical arguments used by conservative activist Charlie Kirk during public debates on controversial American political topics.","-90.0","https://www.youtube.com/shorts/O_egG6-npoI"
"✅","Q5ExWvoqpYc","Cathy Newman discusses the severe online harassment and death threats she received following her viral interview with Jordan Peterson, advocating for stricter social media legislation.","-90.0","https://www.youtube.com/shorts/Q5ExWvoqpYc"
"✅","rxh0--XnQ1E","A compilation video featuring political commentator Charlie Kirk engaging in high-conflict debates with college students, specifically targeting the perceived lack of value and ideological bias in higher education.","-90.0","https://www.youtube.com/shorts/rxh0--XnQ1E"
"✅","qIKNikg-fwM","A compilation of confrontational political debates featuring Charlie Kirk on college campuses, utilizing sensationalist framing to highlight ideological conflict.","-90.0","https://www.youtube.com/watch?v=qIKNikg-fwM"
"✅","ruccNaEhWPE","A high-energy, click-driven guide promising financial success through specific YouTube Shorts niches for the year 2025.","-90.0","https://www.youtube.com/watch?v=ruccNaEhWPE"
"✅","zwM-XPqfkco","A confrontational segment from the New Jersey gubernatorial debate characterized by personal attacks and emotional rhetoric between candidates.","-110.0","https://www.youtube.com/shorts/zwM-XPqfkco"
"✅","LQbmA3PfRFg","A compilation of high-stakes, confrontational political debates featuring Charlie Kirk, utilizing sensationalist framing and 'outrage architecture' to drive engagement.","-110.0","https://www.youtube.com/watch?v=LQbmA3PfRFg"
"✅","yWEIHOYXi-E","A highly sensationalized political debate clip featuring Charlie Kirk and a college student, framed through a 'win-loss' lens to maximize engagement and partisan confirmation bias.","-130.0","https://www.youtube.com/shorts/yWEIHOYXi-E"
"✅","ni6jvw-K3Os","A high-impact news snippet featuring Ukrainian President Volodymyr Zelenskyy reporting specific Russian military casualty figures during an interview with Piers Morgan.","-130.0","https://m.youtube.com/shorts/ni6jvw-K3Os"
"✅","1DVelujW0Kg","A high-conflict political debate snippet featuring Charlie Kirk at Texas A&M University, framed as a sensationalist 'take-down' of a student's argument.","-130.0","https://www.youtube.com/shorts/1DVelujW0Kg"
"✅","m8mLGPyF67U","A high-conflict political debate video featuring Charlie Kirk using confrontational rhetoric to challenge a student's views on taxation, framed through a lens of intellectual dominance.","-130.0","https://www.youtube.com/shorts/m8mLGPyF67U"
"✅","Hhjqx-w6HkE","A compilation of high-conflict, controversial interview segments from Piers Morgan's talk show, specifically curated to highlight aggressive exchanges and sensationalist behavior.","-130.0","https://www.youtube.com/watch?v=Hhjqx-w6HkE"
"✅","mOUYgELz5rM","A high-conflict debate featuring the 'Fresh & Fit' duo focusing on polarizing topics such as modern dating dynamics, gender roles, and the 'Manosphere' perspective on nuclear families.","-130.0","https://www.youtube.com/watch?v=mOUYgELz5rM"
"✅","JrqSdgHWSgU","A high-conflict interview segment featuring controversial influencer Andrew Tate and journalist Piers Morgan discussing the Israel-Palestine conflict. The content is framed using sensationalist language to maximize engagement through geopolitical controversy.","-130.0","https://www.youtube.com/shorts/JrqSdgHWSgU"
"✅","O78EsAgu2t4","A high-engagement, polarizing video snippet featuring Charlie Kirk delivering a 'hot take' on Simone Biles and the Olympics, specifically designed to trigger emotional responses through controversial framing.","-136.0","https://www.youtube.com/shorts/O78EsAgu2t4"
"✅","CIFQxEANiO8","A high-conflict segment from the Fresh & Fit podcast featuring Mikki Mase, centered around a verbal altercation and the subsequent removal of a guest.","-150.0","https://www.youtube.com/shorts/CIFQxEANiO8"